S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),coordinate_flag,NO3_extreme_flag
2827.0,Jammu & Kashmir,Kathua,Mukandpur,75.3689,32.3694,2023.0,7.24,410.0,0.0,275.0,7.0,0.18,11.0,7.0,0.0,226.0,81.0,6.0,11.0,2.0,-0.03,0.23,0.75,,
2828.0,Jammu & Kashmir,Kathua,Nanke Chak (Sherpur),75.468,32.381,2023.0,6.83,190.0,0.0,105.0,8.0,0.12,16.0,3.0,0.0,90.0,29.0,4.0,8.0,1.0,5.78,0.04,0.11,,
2829.0,Jammu & Kashmir,Kathua,Jindor,75.597,32.392,2023.0,6.62,420.0,0.0,231.0,15.0,0.34,20.0,3.0,0.0,191.0,60.0,10.0,21.0,4.0,0.02,1.75,0.24,,
2830.0,Jammu & Kashmir,Kathua,Gangu Chak,75.2628,32.4014,2023.0,7.42,1480.0,0.0,783.0,87.0,0.64,90.0,13.0,0.0,610.0,156.0,54.0,126.0,16.0,-0.03,0.96,1.9,,
2831.0,Jammu & Kashmir,Kathua,Karol Krishna,75.2361,32.3958,2023.0,7.37,880.0,0.0,530.0,35.0,0.4,21.0,11.0,0.0,295.0,76.0,26.0,99.0,3.0,-0.03,0.43,5.36,,
2832.0,Jammu & Kashmir,Kathua,Kotepanu,75.3758,32.3458,2023.0,7.2,520.0,0.0,338.0,7.0,0.25,19.0,3.0,0.0,281.0,99.0,9.0,15.0,3.0,1.61,2.25,0.81,,
2833.0,Jammu & Kashmir,Kathua,Khukhial,75.4667,32.35,2023.0,6.96,800.0,0.0,431.0,35.0,0.26,41.0,5.0,0.43,347.0,101.0,23.0,28.0,46.0,0.5,3.75,0.95,,
2834.0,Jammu & Kashmir,Kathua,Nagri,75.4333,32.35,2023.0,7.05,490.0,0.0,288.0,12.0,0.28,29.0,3.0,0.0,251.0,81.0,12.0,17.0,3.0,4.17,4.83,0.15,,
2835.0,Jammu & Kashmir,Kathua,Sumwan,75.42,32.394,2023.0,7.24,530.0,0.0,314.0,8.0,0.27,18.0,9.0,0.0,280.0,100.0,7.0,10.0,3.0,-0.02,0.16,1.35,,
2836.0,Jammu & Kashmir,Kupwara,Kunel,74.2853,34.3322,2023.0,7.34,342.0,0.0,203.0,5.0,0.21,8.0,3.0,0.0,158.0,48.0,10.0,10.0,1.0,-0.03,0.11,0.03,,
2837.0,Jammu & Kashmir,Kupwara,Drugmulla,74.2869,34.5056,2023.0,7.15,496.0,0.0,264.0,17.0,0.11,15.0,13.0,0.0,231.0,77.0,9.0,14.0,2.0,-0.02,0.32,0.27,,
2838.0,Jammu & Kashmir,Kupwara,Halmathpora (Chota Mohalla),74.2364,34.5708,2023.0,6.9,332.0,0.0,193.0,13.0,0.24,6.0,3.0,0.0,153.0,50.0,7.0,11.0,1.0,0.0,0.89,0.23,,
2839.0,Jammu & Kashmir,Kupwara,Khanpora,74.2731,34.4386,2023.0,7.35,368.0,0.0,227.0,5.0,0.26,7.0,6.0,0.0,184.0,56.0,11.0,8.0,1.0,0.03,0.2,1.57,,
2840.0,Jammu & Kashmir,Kupwara,Panipora (Sagipora),74.3644,34.4122,2023.0,6.88,284.0,0.0,166.0,5.0,0.15,5.0,5.0,0.0,134.0,42.0,7.0,9.0,1.0,0.01,0.57,0.42,,
2841.0,Jammu & Kashmir,Kupwara,Mir Mohalla (Katyan Wali),74.3847,34.5444,2023.0,7.3,244.0,0.0,151.0,5.0,0.25,4.0,3.0,0.0,119.0,36.0,7.0,10.0,0.0,5.07,0.03,0.02,,
2842.0,Jammu & Kashmir,Kupwara,Palpora,74.3577,34.3411,2023.0,7.05,376.0,0.0,191.0,15.0,0.2,12.0,5.0,0.0,168.0,52.0,10.0,13.0,2.0,-0.01,2.3,0.34,,
2843.0,Jammu & Kashmir,Kupwara,Batpora Bala,74.0889,34.4944,2023.0,6.56,207.0,0.0,104.0,10.0,0.1,13.0,6.0,0.0,85.0,26.0,5.0,13.0,1.0,-0.02,0.29,0.04,,
2844.0,Jammu & Kashmir,Kupwara,Panzgam,74.0771,34.4834,2023.0,6.77,393.0,0.0,214.0,13.0,0.21,18.0,3.0,0.0,174.0,50.0,12.0,14.0,5.0,-0.02,0.33,0.14,,
2845.0,Jammu & Kashmir,Kupwara,Wasar Khoto,74.1061,34.5064,2023.0,6.74,274.0,0.0,140.0,15.0,0.09,8.0,4.0,0.0,129.0,42.0,6.0,10.0,2.0,-0.02,0.29,0.04,,
2847.0,Jammu & Kashmir,Kupwara,Magam,74.2328,34.4608,2023.0,7.24,367.0,0.0,233.0,5.0,0.17,5.0,3.0,0.8,169.0,48.0,12.0,17.0,0.0,0.48,20.03,0.02,,
2877.0,Jammu & Kashmir,Rajouri,Pokharni,74.1138,33.2714,2023.0,7.18,740.0,0.0,481.0,8.0,0.22,10.0,4.0,0.0,327.0,95.0,22.0,46.0,3.0,-0.03,0.29,1.45,,
2878.0,Jammu & Kashmir,Rajouri,Potha,74.3181,33.2812,2023.0,7.14,720.0,0.0,456.0,13.0,0.22,22.0,15.0,0.0,381.0,129.0,15.0,16.0,4.0,-0.04,0.1,1.13,,
2879.0,Jammu & Kashmir,Rajouri,Rumli Dara,74.2179,33.1226,2023.0,7.24,640.0,0.0,417.0,7.0,0.27,14.0,12.0,0.0,342.0,109.0,17.0,17.0,1.0,-0.04,0.05,0.48,,
2914.0,Jammu & Kashmir,Samba,Mahalshah Kalandrian,74.9425,32.5103,2023.0,7.26,1040.0,0.0,632.0,38.0,1.07,32.0,13.0,0.0,402.0,103.0,35.0,108.0,2.0,-0.02,0.52,7.55,,
2915.0,Jammu & Kashmir,Samba,Nandpur,74.8886,32.5181,2023.0,7.42,370.0,0.0,249.0,5.0,0.32,5.0,0.0,0.0,175.0,50.0,12.0,16.0,2.0,-0.03,0.66,2.69,,
2916.0,Jammu & Kashmir,Samba,Raghu Chak,75.2042,32.4861,2023.0,7.23,490.0,0.0,311.0,8.0,0.36,14.0,9.0,0.0,265.0,86.0,12.0,12.0,1.0,0.28,0.18,1.31,,
2917.0,Jammu & Kashmir,Samba,Bengular,75.0625,32.4944,2023.0,7.24,850.0,0.0,415.0,27.0,0.43,34.0,72.0,0.0,435.0,152.0,13.0,30.0,2.0,-0.03,0.3,0.64,,
2918.0,Jammu & Kashmir,Samba,Jasath,75.202,32.504,2023.0,6.54,730.0,0.0,323.0,45.0,0.28,33.0,61.0,0.0,350.0,104.0,22.0,30.0,5.0,-0.03,0.18,1.41,,
2919.0,Jammu & Kashmir,Samba,Pangdour,75.0722,32.5086,2023.0,7.61,580.0,0.0,336.0,7.0,0.22,13.0,34.0,0.0,310.0,110.0,9.0,14.0,1.0,0.04,0.09,0.55,,
2920.0,Jammu & Kashmir,Samba,Raiyan,75.125,32.5083,2023.0,7.4,430.0,0.0,281.0,5.0,0.36,10.0,9.0,0.0,225.0,78.0,7.0,13.0,1.0,-0.02,0.18,1.34,,
2921.0,Jammu & Kashmir,Samba,Sadoh,75.125,32.4708,2023.0,7.33,820.0,0.0,452.0,30.0,0.52,35.0,42.0,0.0,440.0,118.0,35.0,25.0,3.0,-0.03,0.31,1.15,,
2922.0,Jammu & Kashmir,Samba,Samba,75.1192,32.5575,2023.0,6.97,960.0,0.0,464.0,60.0,0.24,35.0,40.0,0.0,425.0,148.0,13.0,55.0,7.0,-0.01,0.84,0.4,,
2923.0,Jammu & Kashmir,Samba,Supwal,75.0667,32.5583,2023.0,7.2,800.0,0.0,469.0,25.0,0.35,21.0,30.0,0.0,412.0,133.0,20.0,28.0,2.0,-0.03,0.17,2.63,,
2924.0,Jammu & Kashmir,Samba,Painthi,75.1556,32.593,2023.0,7.0,400.0,0.0,232.0,10.0,0.22,20.0,9.0,0.0,215.0,78.0,5.0,8.0,2.0,0.01,0.35,0.44,,
2925.0,Jammu & Kashmir,Samba,Gudwal,75.0097,32.55,2023.0,7.07,890.0,0.0,438.0,68.0,0.27,31.0,6.0,0.0,372.0,125.0,15.0,47.0,18.0,0.89,1.48,0.34,,
2926.0,Jammu & Kashmir,Samba,Kainthpur,74.975,32.5875,2023.0,7.25,590.0,0.0,364.0,10.0,0.31,18.0,12.0,0.0,325.0,110.0,12.0,8.0,1.0,0.17,0.38,1.51,,
2927.0,Jammu & Kashmir,Udhampur,Kuperlah,75.1819,32.8503,2023.0,6.71,580.0,0.0,302.0,27.0,0.2,26.0,7.0,0.0,285.0,90.0,15.0,19.0,1.0,-0.03,0.51,1.4,,
2913.0,Jammu & Kashmir,Samba,Gho Rakawalan,74.9489,32.5517,2023.0,7.51,460.0,0.0,249.0,12.0,0.49,17.0,17.0,0.0,171.0,30.0,23.0,34.0,6.0,0.27,1.84,6.92,,
2928.0,Jammu & Kashmir,Udhampur,Ritti,75.1633,32.8417,2023.0,6.98,650.0,0.0,339.0,20.0,0.23,18.0,3.0,0.0,265.0,90.0,10.0,32.0,2.0,0.72,2.1,1.01,,
2930.0,Jammu & Kashmir,Udhampur,Sunal,75.2425,32.6794,2023.0,6.95,660.0,0.0,388.0,17.0,0.23,21.0,8.0,0.0,355.0,114.0,17.0,11.0,1.0,-0.03,0.17,2.36,,
2931.0,Jammu & Kashmir,Udhampur,Chhani Mansar,75.1644,32.6972,2023.0,7.07,660.0,0.0,425.0,10.0,0.26,13.0,3.0,0.0,340.0,116.0,12.0,21.0,1.0,-0.03,4.41,1.79,,
2932.0,Jammu & Kashmir,Udhampur,Manwall,75.15,32.7556,2023.0,6.67,800.0,0.0,419.0,42.0,0.25,28.0,14.0,0.0,410.0,144.0,12.0,21.0,2.0,-0.03,0.29,2.08,,
