S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb),coordinate_flag,NO3_extreme_flag
7774.0,Uttar Pradesh,Barabanki,Block Office,81.524,26.793,2023.0,7.78,633.0,0.0,317.0,14.0,0.35,15.0,0.0,0.0,240.0,64.0,19.0,21.0,4.0,1.67,4.0,0.0,,
7780.0,Uttar Pradesh,Barabanki,Chaubisi,81.4294,26.5722,2023.0,7.87,551.0,0.0,348.0,11.0,0.14,0.0,0.0,0.0,240.0,72.0,14.0,24.0,5.0,0.21,0.0,6.55,,
7781.0,Uttar Pradesh,Barabanki,Bhanmau,81.2644,26.8014,2023.0,8.37,525.0,18.0,244.0,14.0,0.48,15.0,0.0,0.0,195.0,28.0,30.0,37.0,5.0,1.21,2.93,11.57,,
7784.0,Uttar Pradesh,Barabanki,Lakshvar Vajaha,81.2908,26.9178,2023.0,7.93,591.0,0.0,354.0,11.0,0.27,20.0,0.0,0.0,260.0,60.0,26.0,24.0,5.0,0.87,0.0,3.44,,
7785.0,Uttar Pradesh,Barabanki,Baba Ki Kutti,81.1007,27.1782,2023.0,8.06,389.0,0.0,195.0,11.0,0.99,21.0,0.0,0.0,170.0,48.0,12.0,7.0,3.0,0.65,11.85,0.0,,
7792.0,Uttar Pradesh,Barabanki,Purwa Amarsingh,81.3914,27.139,2023.0,8.02,561.0,0.0,342.0,14.0,0.11,5.0,0.0,0.0,230.0,64.0,17.0,29.0,5.0,3.38,3.6,0.0,,
7794.0,Uttar Pradesh,Bareilly,Nawada,79.4935,28.1705,2023.0,8.39,467.0,6.0,201.0,7.0,0.14,28.0,0.0,0.0,210.0,44.0,24.0,7.0,3.0,0.33,7.06,0.0,,
7796.0,Uttar Pradesh,Bareilly,Samshapur,79.4314,28.5658,2023.0,7.9,514.0,0.0,275.0,14.0,0.13,0.0,0.0,0.0,220.0,48.0,24.0,15.0,3.0,1.23,0.0,0.0,,
2946.0,Jammu & Kashmir,Udhampur,Nagrota Panjgrain,75.2708,32.8358,2023.0,6.46,380.0,0.0,234.0,10.0,0.26,12.0,6.0,0.0,195.0,54.0,15.0,15.0,2.0,-0.03,0.1,0.12,,
7830.0,Uttar Pradesh,Bijnor,Ramdas Wali,78.2469,29.697,2023.0,7.7,758.0,0.0,323.0,78.0,0.37,27.0,8.0,0.0,340.0,124.0,7.0,28.0,6.0,0.0,1.17,0.0,,
7832.0,Uttar Pradesh,Bijnor,Murahat,78.4011,29.0497,2023.0,7.9,548.0,0.0,244.0,35.0,0.21,29.0,0.0,0.0,225.0,68.0,13.0,23.0,5.0,0.25,6.95,7.83,,
7866.0,Uttar Pradesh,Bulandshahar,Block H.Q,77.9774,28.5264,2023.0,8.12,849.0,0.0,366.0,21.0,0.77,60.0,23.0,0.0,300.0,44.0,46.0,59.0,7.0,0.22,0.0,17.0,,
7868.0,Uttar Pradesh,Bulandshahar,Palra,77.9446,28.2664,2023.0,7.87,564.0,0.0,281.0,7.0,0.6,31.0,0.0,0.0,250.0,52.0,29.0,13.0,5.0,0.23,0.0,7.0,,
7870.0,Uttar Pradesh,Bulandshahar,Nawada,78.0632,28.2595,2023.0,8.12,1109.0,0.0,439.0,78.0,1.8,64.0,8.0,0.0,180.0,28.0,27.0,177.0,6.0,0.22,1.05,14.78,,
7872.0,Uttar Pradesh,Bulandshahar,Gesupur,77.7012,28.5286,2023.0,8.18,1277.0,0.0,647.0,7.0,0.84,65.0,19.0,0.0,190.0,36.0,24.0,200.0,10.0,0.0,0.0,26.98,,
7875.0,Uttar Pradesh,Chandauli,Sirkolpur,83.4104,25.3646,2023.0,8.02,652.0,0.0,342.0,28.0,0.9,15.0,10.0,0.0,210.0,40.0,26.0,59.0,2.0,0.06,0.0,11.42,,
7876.0,Uttar Pradesh,Chandauli,Chahania,83.2094,25.4178,2023.0,7.92,896.0,0.0,415.0,50.0,0.22,24.0,16.0,0.0,350.0,56.0,50.0,41.0,4.0,0.0,0.0,12.0,,
7877.0,Uttar Pradesh,Chandauli,Sirkalpur,83.28,25.4863,2023.0,8.0,588.0,0.0,354.0,14.0,0.3,10.0,0.0,0.0,270.0,48.0,34.0,20.0,4.0,3.35,8.01,0.0,,
7878.0,Uttar Pradesh,Chandauli,Kauwada Ghat,83.25,24.8168,2023.0,7.9,353.0,0.0,195.0,14.0,0.3,8.0,0.0,0.0,100.0,36.0,2.0,41.0,0.0,2.16,0.0,0.0,,
7879.0,Uttar Pradesh,Chandauli,Lawari Khurd,83.2249,24.8972,2023.0,7.91,344.0,0.0,134.0,28.0,0.35,26.0,6.0,0.0,130.0,36.0,10.0,21.0,6.0,0.0,0.0,0.0,,
7880.0,Uttar Pradesh,Chandauli,Magrahi,83.2993,24.8268,2023.0,7.75,521.0,0.0,220.0,50.0,0.41,15.0,0.0,0.0,110.0,36.0,5.0,68.0,10.0,1.02,3.3,0.0,,
7881.0,Uttar Pradesh,Chandauli,Munuwat,83.3264,24.8922,2023.0,7.7,263.0,0.0,110.0,28.0,0.3,11.0,0.0,0.0,120.0,36.0,14.0,10.0,5.0,3.8,0.0,0.0,,
7882.0,Uttar Pradesh,Chandauli,Sikarganj,83.217,25.0082,2023.0,7.75,460.0,0.0,256.0,14.0,0.46,8.0,7.0,0.0,190.0,48.0,17.0,25.0,3.0,0.12,0.0,0.0,,
7884.0,Uttar Pradesh,Chandauli,Sakaldiha,83.2583,25.3553,2023.0,8.14,1502.0,0.0,683.0,85.0,1.0,48.0,9.0,0.0,230.0,28.0,38.0,234.0,4.0,0.0,4.0,17.0,,
7885.0,Uttar Pradesh,Chandauli,Banbhishampur,83.2988,24.9949,2023.0,7.88,484.0,0.0,256.0,14.0,0.6,12.0,0.0,0.0,190.0,24.0,17.0,26.0,1.0,0.08,0.0,0.0,,
7886.0,Uttar Pradesh,Chitrakoot,Kauhari,80.8704,25.3665,2023.0,8.09,819.0,0.0,464.0,14.0,0.69,7.0,6.0,0.0,300.0,44.0,46.0,50.0,0.0,0.12,0.0,4.51,,
7887.0,Uttar Pradesh,Chitrakoot,Kol Gadhiya,80.9528,25.196,2023.0,7.94,909.0,0.0,476.0,21.0,1.04,19.0,14.0,0.0,370.0,40.0,65.0,39.0,0.0,0.06,0.0,3.97,,
7888.0,Uttar Pradesh,Chitrakoot,Ragauli,80.9733,25.2507,2023.0,7.82,799.0,0.0,427.0,21.0,0.54,7.0,9.0,0.0,340.0,52.0,50.0,26.0,1.0,0.44,0.0,3.14,,
7889.0,Uttar Pradesh,Chitrakoot,Roli,80.7276,25.22,2023.0,8.2,853.0,0.0,439.0,36.0,1.29,8.0,7.0,0.0,290.0,56.0,36.0,61.0,0.0,0.0,0.0,4.64,,
7890.0,Uttar Pradesh,Chitrakoot,B(Paaratacuhnhdiha Mod),81.164,25.1787,2023.0,8.04,854.0,0.0,464.0,14.0,0.86,0.0,22.0,0.0,290.0,68.0,29.0,63.0,0.0,0.0,0.0,3.61,,
7891.0,Uttar Pradesh,Chitrakoot,Hardiya,81.2254,25.0854,2023.0,8.07,466.0,0.0,195.0,43.0,0.45,10.0,0.0,0.0,150.0,40.0,12.0,36.0,3.0,0.78,0.0,0.0,,
7892.0,Uttar Pradesh,Chitrakoot,Karouha,81.0378,24.9996,2023.0,7.54,211.0,0.0,85.0,21.0,0.13,0.0,0.0,0.0,70.0,20.0,5.0,14.0,3.0,13.54,0.0,0.0,,
7893.0,Uttar Pradesh,Chitrakoot,Kubri,81.1652,25.0047,2023.0,7.94,1326.0,0.0,256.0,163.0,0.36,93.0,156.0,0.0,590.0,100.0,82.0,22.0,20.0,0.27,0.0,3.05,,
7894.0,Uttar Pradesh,Chitrakoot,Markundi,80.9545,25.0201,2023.0,7.87,378.0,0.0,146.0,21.0,0.39,18.0,23.0,0.0,150.0,44.0,10.0,16.0,4.0,0.17,0.0,0.0,,
7864.0,Uttar Pradesh,Bulandshahar,Dastura,77.7032,28.2753,2023.0,8.13,866.0,0.0,390.0,35.0,0.34,12.0,68.0,0.0,190.0,36.0,24.0,115.0,6.0,0.33,0.0,13.97,,
7833.0,Uttar Pradesh,Budaun,Block Hq,78.9113,28.394,2023.0,8.01,704.0,0.0,317.0,43.0,0.17,25.0,0.0,0.0,220.0,40.0,29.0,47.0,21.0,2.34,3.0,12.0,,
7834.0,Uttar Pradesh,Budaun,Biharipur Dharmpur,79.0069,28.3041,2023.0,8.25,464.0,0.0,256.0,7.0,0.0,0.0,0.0,0.0,200.0,56.0,14.0,9.0,3.0,0.11,3.17,0.0,,
7836.0,Uttar Pradesh,Budaun,Karia Bain,78.6709,28.1451,2023.0,7.91,554.0,0.0,244.0,21.0,0.24,22.0,0.0,0.0,225.0,44.0,28.0,17.0,4.0,0.25,1.0,12.64,,
7837.0,Uttar Pradesh,Budaun,Diyori,79.4179,27.9844,2023.0,7.88,562.0,0.0,305.0,7.0,0.33,7.0,0.0,0.0,220.0,52.0,22.0,22.0,3.0,0.58,5.94,9.11,,
7838.0,Uttar Pradesh,Budaun,Tiglapur,79.2927,28.0405,2023.0,8.15,644.0,0.0,317.0,21.0,0.32,16.0,0.0,0.0,210.0,44.0,24.0,49.0,3.0,0.18,8.77,6.4,,
7839.0,Uttar Pradesh,Budaun,Allahpur Kasba,79.2517,27.9083,2023.0,7.82,684.0,0.0,256.0,64.0,0.36,30.0,0.0,0.0,270.0,64.0,26.0,25.0,15.0,2.37,0.0,8.2,,
7840.0,Uttar Pradesh,Budaun,Behta Dambanagar,79.1608,27.91,2023.0,8.23,649.0,0.0,287.0,14.0,0.71,10.0,46.0,0.0,270.0,72.0,22.0,23.0,3.0,0.0,0.0,0.0,,
7842.0,Uttar Pradesh,Budaun,Khiriya Bakarpur,79.0259,27.9316,2023.0,8.14,630.0,0.0,232.0,36.0,0.36,30.0,30.0,0.0,290.0,64.0,31.0,8.0,3.0,0.2,0.0,4.99,,
7843.0,Uttar Pradesh,Budaun,Sagrai,78.8697,28.0371,2023.0,8.22,524.0,0.0,183.0,14.0,0.2,72.0,0.0,0.0,230.0,48.0,26.0,10.0,6.0,1.39,0.0,4.52,,
7844.0,Uttar Pradesh,Budaun,H P Block Office.,79.133,28.0706,2023.0,7.92,854.0,0.0,329.0,64.0,0.15,43.0,0.0,0.0,340.0,68.0,41.0,34.0,7.0,0.24,2.0,13.0,,
7845.0,Uttar Pradesh,Budaun,Kunwargaon,79.1421,28.1777,2023.0,7.78,500.0,0.0,281.0,7.0,0.26,0.0,0.0,0.0,210.0,40.0,26.0,15.0,4.0,0.66,2.03,0.0,,
7846.0,Uttar Pradesh,Budaun,"Adjacent To Sbi Bank,Ujhani",79.0144,28.0027,2023.0,7.86,1104.0,0.0,329.0,92.0,0.34,77.0,46.0,0.0,360.0,68.0,46.0,83.0,7.0,0.16,0.0,3.54,,
7847.0,Uttar Pradesh,Budaun,Laxminagra,78.8528,27.9225,2023.0,8.06,510.0,0.0,268.0,7.0,0.5,21.0,0.0,0.0,180.0,40.0,19.0,29.0,4.0,1.18,0.0,10.48,,
7849.0,Uttar Pradesh,Budaun,Firozapur,79.1948,27.8116,2023.0,8.39,842.0,6.0,256.0,57.0,0.4,116.0,0.0,0.0,200.0,44.0,22.0,97.0,3.0,0.8,0.0,7.8,,
7851.0,Uttar Pradesh,Bulandshahar,Block Office Premises,77.8985,28.5233,2023.0,8.23,583.0,0.0,354.0,14.0,0.82,23.0,14.0,0.0,250.0,60.0,24.0,43.0,5.0,0.0,2.0,14.0,,
7852.0,Uttar Pradesh,Bulandshahar,Amarpur,78.0612,28.2599,2023.0,7.81,781.0,0.0,354.0,21.0,0.38,86.0,0.0,0.0,290.0,68.0,29.0,60.0,6.0,3.45,4.0,0.0,,
7856.0,Uttar Pradesh,Bulandshahar,Dist. H.Q,77.8354,28.3886,2023.0,8.18,315.0,0.0,134.0,14.0,0.34,22.0,0.0,0.0,140.0,36.0,12.0,6.0,2.0,0.0,1.0,0.0,,
7858.0,Uttar Pradesh,Bulandshahar,Bhopatpur,78.2834,28.2963,2023.0,7.91,647.0,0.0,366.0,7.0,0.55,24.0,15.0,0.0,300.0,48.0,44.0,26.0,4.0,0.19,1.32,12.87,,
7860.0,Uttar Pradesh,Bulandshahar,Narora,78.3959,28.1884,2023.0,8.22,350.0,0.0,134.0,14.0,0.25,30.0,0.0,0.0,130.0,36.0,10.0,15.0,4.0,0.0,1.55,3.23,,
7863.0,Uttar Pradesh,Bulandshahar,Kaisawan,78.0334,28.3035,2023.0,8.2,358.0,0.0,171.0,14.0,1.0,22.0,0.0,0.0,150.0,40.0,12.0,16.0,5.0,0.29,12.0,16.0,,
7753.0,Uttar Pradesh,Balrampur,Salapur Village,82.4243,27.2313,2023.0,7.41,749.0,0.0,329.0,50.0,0.29,35.0,23.0,0.0,360.0,92.0,31.0,20.0,0.0,0.11,0.0,0.0,,
7752.0,Uttar Pradesh,Balrampur,"Raza Jot Village, Near Durga Mandir",82.407,27.2837,2023.0,7.82,481.0,0.0,305.0,7.0,0.37,5.0,0.0,0.0,220.0,64.0,14.0,17.0,3.0,0.88,6.23,0.0,,
7751.0,Uttar Pradesh,Balrampur,Patel Chauraha,82.2992,27.2145,2023.0,7.63,672.0,0.0,403.0,21.0,0.34,8.0,0.0,0.0,235.0,60.0,20.0,57.0,2.0,0.0,1.41,6.35,,
10884.0,Haryana,Jind,Kishanpura,76.3214,29.2956,2023.0,8.25,2752.0,0.0,696.0,425.0,2.7,11.0,40.0,0.0,500.0,44.0,95.0,338.0,14.0,0.02,0.42,38.97,,
10883.0,Haryana,Jind,Kharal,76.0654,29.6976,2023.0,8.19,2144.0,0.0,647.0,170.0,1.7,245.0,28.0,0.0,370.0,48.0,61.0,310.0,16.0,0.03,0.54,14.27,,
10882.0,Haryana,Jind,Julani,76.2803,29.3882,2023.0,8.41,5417.0,48.0,537.0,1099.0,1.0,519.0,49.0,0.0,590.0,28.0,126.0,982.0,14.0,0.02,0.32,32.45,,
10881.0,Haryana,Jind,Jajwan,76.1965,29.3396,2023.0,8.28,628.0,0.0,134.0,92.0,0.51,66.0,14.0,0.0,240.0,28.0,41.0,36.0,11.0,0.05,0.58,7.64,,
10880.0,Haryana,Jind,Jaipur,76.5838,29.3921,2023.0,8.24,3211.0,0.0,525.0,468.0,1.7,358.0,60.0,0.0,821.0,64.0,160.0,332.0,24.0,0.03,0.29,34.15,,
10879.0,Haryana,Jind,Haibtatpur,76.3476,29.3369,2023.0,8.66,2125.0,60.0,769.0,213.0,22.0,0.0,20.0,0.0,300.0,28.0,56.0,374.0,7.0,0.0,2.39,76.81,,
10878.0,Haryana,Jind,Chhabri,76.4583,29.2667,2023.0,8.6,924.0,48.0,244.0,149.0,1.7,0.0,7.0,0.0,310.0,32.0,56.0,90.0,7.0,0.12,0.86,23.97,,
10877.0,Haryana,Jind,Thua,76.3508,29.5302,2023.0,8.05,395.0,0.0,134.0,21.0,0.92,35.0,3.0,0.0,120.0,24.0,15.0,26.0,8.0,0.04,1.05,8.21,,
10876.0,Haryana,Jind,Raichandwala,76.4174,29.3966,2023.0,8.53,3410.0,36.0,659.0,525.0,2.5,312.0,20.0,0.0,580.0,64.0,102.0,528.0,12.0,0.02,0.92,45.37,,
10875.0,Haryana,Jind,Katwal,76.4511,29.5043,2023.0,8.38,2639.0,84.0,598.0,241.0,2.8,170.0,80.0,0.0,370.0,28.0,73.0,400.0,13.0,0.03,0.49,37.52,,
10874.0,Haryana,Jind,Dorana,76.4819,29.5186,2023.0,8.43,7842.0,84.0,171.0,1971.0,1.2,620.0,260.0,0.0,1431.0,132.0,268.0,1200.0,26.0,0.02,0.24,12.48,,
10873.0,Haryana,Jind,Chhater,76.3173,29.5153,2023.0,8.39,6482.0,36.0,415.0,1496.0,4.6,473.0,22.0,0.0,1821.0,305.0,258.0,589.0,22.0,0.02,0.69,27.01,,
10872.0,Haryana,Jind,Bighana,76.4836,29.4991,2023.0,8.56,606.0,36.0,256.0,35.0,2.3,0.0,0.0,0.0,180.0,24.0,29.0,71.0,2.0,0.01,4.78,11.79,,
10871.0,Haryana,Jind,Alewa,76.4521,29.4784,2023.0,8.69,881.0,36.0,159.0,121.0,2.6,53.0,9.0,0.0,240.0,32.0,39.0,90.0,8.0,0.04,0.5,30.01,,
10870.0,Haryana,Jhajjar,Jharli,76.3806,28.4973,2023.0,7.63,23412.0,0.0,281.0,5913.0,0.26,1729.0,210.0,0.0,8847.0,1114.0,1474.0,850.0,40.0,0.12,0.07,11.66,,
10869.0,Haryana,Jhajjar,Palra,77.1532,28.9959,2023.0,8.04,1027.0,0.0,476.0,28.0,0.94,63.0,1.0,0.0,360.0,64.0,49.0,67.0,10.0,0.03,1.82,1.25,,
10868.0,Haryana,Jhajjar,Machhrauli,76.9124,30.0923,2023.0,7.8,800.0,0.0,366.0,92.0,0.48,32.0,7.0,0.0,310.0,60.0,39.0,72.0,7.0,0.05,0.26,5.85,,
10867.0,Haryana,Jhajjar,Subhan,76.5683,28.4661,2023.0,8.03,2344.0,0.0,307.0,518.0,1.2,115.0,1.0,0.0,500.0,40.0,97.0,240.0,86.0,0.06,1.37,2.51,,
10866.0,Haryana,Jhajjar,Salawas,76.4725,28.4572,2023.0,8.19,625.0,0.0,330.0,35.0,6.2,0.0,4.0,0.0,140.0,20.0,22.0,70.0,45.0,0.03,1.15,8.07,,
10865.0,Haryana,Jhajjar,Surkakhpur Viran,76.5635,28.5119,2023.0,8.53,1157.0,36.0,220.0,184.0,3.4,87.0,1.0,0.0,210.0,20.0,39.0,182.0,3.0,0.04,1.36,3.75,,
10864.0,Haryana,Jhajjar,Surehti,76.6348,28.5075,2023.0,8.41,314.0,12.0,37.0,64.0,0.38,0.0,0.0,0.0,110.0,12.0,20.0,15.0,3.0,0.08,1.78,1.41,,
10863.0,Haryana,Jhajjar,Karoda,76.5827,28.5767,2023.0,7.94,1889.0,0.0,268.0,418.0,0.69,180.0,4.0,0.0,470.0,56.0,80.0,240.0,30.0,0.19,0.86,11.97,,
10862.0,Haryana,Jhajjar,Mudsa,76.4792,28.5458,2023.0,8.03,2326.0,0.0,427.0,468.0,5.3,125.0,23.0,0.0,250.0,36.0,39.0,432.0,19.0,0.14,2.63,29.61,,
10861.0,Haryana,Jhajjar,Chuchakwas,76.5083,28.6,2023.0,8.43,438.0,24.0,122.0,21.0,1.7,32.0,10.0,0.0,150.0,24.0,22.0,28.0,9.0,0.04,1.36,7.73,,
10860.0,Haryana,Jhajjar,Bahu,76.3341,28.4526,2023.0,7.86,2735.0,0.0,586.0,468.0,1.4,172.0,50.0,0.0,470.0,32.0,95.0,422.0,6.0,0.05,0.28,11.13,,
10859.0,Haryana,Jhajjar,Ukhal Chana,76.6998,28.5781,2023.0,8.24,3990.0,0.0,513.0,787.0,1.3,437.0,21.0,0.0,550.0,56.0,100.0,674.0,50.0,0.06,0.23,15.65,,
10858.0,Haryana,Jhajjar,Silana,76.6784,28.548,2023.0,8.74,267.0,12.0,37.0,57.0,0.34,0.0,0.0,0.0,50.0,4.0,10.0,36.0,5.0,0.05,2.02,1.27,,
10857.0,Haryana,Jhajjar,Patodha,76.672,28.3999,2023.0,8.24,359.0,0.0,159.0,35.0,1.4,0.0,3.0,0.0,160.0,20.0,27.0,15.0,0.0,0.14,0.52,2.66,,
10885.0,Haryana,Jind,Lochab,76.43,29.3578,2023.0,8.74,1282.0,96.0,525.0,78.0,4.9,0.0,9.0,0.0,240.0,16.0,49.0,203.0,8.0,0.03,1.22,60.6,,
10886.0,Haryana,Jind,Nidani,76.4148,29.2555,2023.0,8.28,2943.0,0.0,305.0,666.0,0.78,212.0,4.0,0.0,631.0,116.0,83.0,385.0,5.0,0.04,0.48,4.78,,
10888.0,Haryana,Jind,Shahpur,76.3525,29.4011,2023.0,8.39,984.0,48.0,268.0,57.0,1.3,48.0,40.0,0.0,270.0,48.0,36.0,91.0,11.0,0.04,0.51,37.76,,
10918.0,Haryana,Jind,Rojhla,76.6025,29.3637,2023.0,8.15,3583.0,0.0,757.0,631.0,2.2,231.0,23.0,0.0,831.0,128.0,124.0,454.0,16.0,0.03,0.29,47.3,,
10917.0,Haryana,Jind,Paju Khurd,76.626,29.4372,2023.0,8.56,818.0,36.0,232.0,78.0,2.0,48.0,0.0,0.0,50.0,4.0,10.0,174.0,2.0,0.02,4.65,15.44,,
10916.0,Haryana,Jind,Muana,76.5729,29.4331,2023.0,8.61,886.0,24.0,354.0,50.0,2.4,0.0,0.0,0.0,70.0,8.0,12.0,158.0,2.0,0.02,5.26,13.34,,
10915.0,Haryana,Jind,Karsola,76.4142,29.1392,2023.0,7.69,3095.0,0.0,378.0,737.0,0.56,161.0,55.0,0.0,1171.0,244.0,136.0,203.0,10.0,0.12,0.26,3.13,,
10914.0,Haryana,Jind,Bhuslana,76.7505,29.4524,2023.0,8.39,1628.0,60.0,549.0,99.0,2.4,115.0,10.0,0.0,370.0,60.0,54.0,210.0,13.0,0.01,0.46,46.19,,
10913.0,Haryana,Jind,Bagru Kalan,76.6046,29.2959,2023.0,7.55,9890.0,0.0,537.0,2680.0,1.1,495.0,280.0,0.0,3643.0,293.0,708.0,620.0,118.0,0.26,0.05,25.82,,
10912.0,Haryana,Jind,Pilukhera,76.4875,29.3361,2023.0,8.07,989.0,0.0,525.0,78.0,4.3,0.0,8.0,0.0,350.0,32.0,66.0,97.0,6.0,0.04,0.19,32.99,,
10911.0,Haryana,Jind,Hadwa,76.5606,29.3045,2023.0,7.75,3368.0,0.0,574.0,674.0,0.4,263.0,1.0,0.0,1061.0,164.0,158.0,286.0,33.0,0.12,0.23,8.12,,
10910.0,Haryana,Jind,Gangana,76.6113,29.2404,2023.0,8.49,652.0,36.0,110.0,78.0,1.0,48.0,1.0,0.0,120.0,20.0,17.0,89.0,6.0,0.12,1.17,23.7,,
10909.0,Haryana,Jind,Berikhera,76.5358,29.3868,2023.0,8.48,931.0,60.0,378.0,21.0,0.6,0.0,35.0,0.0,310.0,32.0,56.0,76.0,10.0,0.05,0.22,88.79,,
10908.0,Haryana,Jind,Rajgarh Dhobi,76.0623,29.746,2023.0,8.43,1413.0,60.0,403.0,220.0,0.78,0.0,26.0,0.0,540.0,60.0,95.0,106.0,17.0,0.03,0.46,25.15,,
10907.0,Haryana,Jind,Narwana,76.1249,29.6165,2023.0,7.93,1255.0,0.0,391.0,135.0,2.3,48.0,50.0,0.0,340.0,36.0,61.0,107.0,45.0,0.04,0.49,8.81,,
10906.0,Haryana,Jind,Napewala,76.146,29.754,2023.0,8.52,780.0,24.0,220.0,92.0,3.0,12.0,6.0,0.0,190.0,28.0,29.0,84.0,11.0,0.03,0.95,18.43,,
10905.0,Haryana,Jind,Kalwan,75.9831,29.6898,2023.0,8.66,6796.0,24.0,525.0,1758.0,2.8,367.0,55.0,0.0,2262.0,232.0,409.0,530.0,14.0,0.01,0.33,40.98,,
10904.0,Haryana,Jind,Kaloda Kalan,75.9793,29.5826,2023.0,8.41,297.0,24.0,61.0,28.0,0.51,0.0,1.0,0.0,70.0,8.0,12.0,27.0,5.0,0.04,1.89,1.96,,
10903.0,Haryana,Jind,Harnampura,76.0526,29.6435,2023.0,8.55,860.0,24.0,281.0,99.0,0.63,0.0,94.0,0.0,290.0,36.0,49.0,86.0,13.0,0.04,0.39,14.94,,
10902.0,Haryana,Jind,Dhanauri,76.1753,29.7716,2023.0,8.56,1444.0,48.0,391.0,149.0,3.2,64.0,65.0,0.0,200.0,12.0,41.0,187.0,124.0,0.03,0.53,22.87,,
10901.0,Haryana,Jind,Datasinghwala,76.1287,29.7751,2023.0,8.58,674.0,24.0,244.0,28.0,2.2,22.0,20.0,0.0,120.0,16.0,19.0,95.0,8.0,0.01,1.42,17.37,,
10900.0,Haryana,Jind,Danoda Khurd,75.9809,29.5277,2023.0,8.28,340.0,0.0,134.0,35.0,0.57,0.0,1.0,0.0,100.0,8.0,19.0,25.0,10.0,0.04,0.37,5.71,,
10898.0,Haryana,Jind,Dablain,76.0684,29.5856,2023.0,8.52,454.0,24.0,195.0,21.0,0.46,0.0,5.0,0.0,150.0,36.0,15.0,39.0,7.0,0.04,2.16,2.66,,
10897.0,Haryana,Jind,Chak Ujhana,76.1245,29.7145,2023.0,8.47,766.0,24.0,171.0,106.0,2.6,0.0,2.0,0.0,180.0,16.0,34.0,73.0,5.0,0.03,1.62,12.58,,
10896.0,Haryana,Jind,Bhana Braahmanan,76.1722,29.6603,2023.0,8.45,2332.0,36.0,305.0,404.0,0.44,264.0,1.0,0.0,671.0,92.0,107.0,237.0,11.0,0.05,0.48,3.53,,
10895.0,Haryana,Jind,Zafergarh,76.4258,29.0877,2023.0,8.04,1184.0,0.0,220.0,248.0,1.0,48.0,2.0,0.0,320.0,28.0,61.0,127.0,8.0,0.03,1.2,9.28,,
10894.0,Haryana,Jind,Lajwana Kalan,76.4814,29.1587,2023.0,8.67,659.0,24.0,171.0,57.0,1.7,48.0,4.0,0.0,150.0,24.0,22.0,80.0,4.0,0.02,0.76,12.28,,
10893.0,Haryana,Jind,Kinana,76.4148,29.2416,2023.0,8.17,3562.0,0.0,647.0,588.0,0.86,343.0,15.0,0.0,651.0,32.0,139.0,516.0,15.0,0.03,0.84,23.42,,
10892.0,Haryana,Jind,Julana,76.2719,29.4769,2023.0,7.72,584.0,0.0,195.0,85.0,1.7,0.0,12.0,0.0,130.0,32.0,12.0,76.0,6.0,0.03,0.69,7.44,,
10891.0,Haryana,Jind,Jhamola,76.34,29.1404,2023.0,7.72,3016.0,0.0,635.0,397.0,2.6,259.0,265.0,0.0,1081.0,136.0,180.0,128.0,210.0,0.07,0.32,35.1,,
10890.0,Haryana,Jind,Dhigana,76.4364,29.2208,2023.0,8.65,271.0,24.0,49.0,14.0,0.62,22.0,1.0,0.0,40.0,4.0,7.0,38.0,5.0,0.01,4.04,0.28,,
10889.0,Haryana,Jind,Brahmanwas,76.4083,29.1333,2023.0,7.53,2620.0,0.0,256.0,659.0,0.87,139.0,19.0,0.0,1011.0,172.0,141.0,150.0,9.0,0.34,0.11,8.21,,
10887.0,Haryana,Jind,Ramrai,76.2327,29.2818,2023.0,8.16,553.0,0.0,171.0,85.0,0.45,0.0,0.0,0.0,220.0,32.0,34.0,16.0,13.0,0.04,0.58,7.12,,
10919.0,Haryana,Jind,Saffidon,76.6546,29.3181,2023.0,8.2,487.0,0.0,268.0,21.0,1.5,0.0,7.0,0.0,183.0,31.0,26.0,29.0,17.0,0.03,0.82,14.62,,
10854.0,Haryana,Jhajjar,Jhajjar,76.6603,28.5986,2023.0,7.79,2754.0,0.0,476.0,624.0,2.3,106.0,13.0,0.0,781.0,92.0,134.0,290.0,12.0,0.27,0.65,34.24,,
10852.0,Haryana,Jhajjar,Bhadani,76.5546,28.6461,2023.0,8.45,654.0,24.0,134.0,106.0,1.1,0.0,3.0,0.0,270.0,24.0,51.0,19.0,4.0,0.07,0.23,12.92,,
10817.0,Haryana,Hisar,Neoli Kalan,75.6257,29.182,2023.0,7.93,409.0,0.0,184.0,50.0,1.0,0.0,2.0,0.0,200.0,40.0,24.0,11.0,7.0,0.03,0.66,2.68,,
10816.0,Haryana,Hisar,Bir Hisar (Bir Babran),75.7478,29.2544,2023.0,8.24,416.0,0.0,154.0,57.0,0.68,0.0,1.0,0.0,200.0,22.0,35.0,6.0,3.0,0.08,0.19,12.45,,
10815.0,Haryana,Hisar,Bherian,75.6602,29.048,2023.0,7.88,605.0,0.0,244.0,50.0,1.2,0.0,3.0,0.0,230.0,12.0,49.0,14.0,19.0,0.23,0.17,2.81,,
