pH,EC_uScm,TDS_mgL,HCO3_mgL,Cl_mgL,F_mgL,SO4,NO3,Total_Hardness_mgL,Ca_mgL,Mg_mgL,Na_mgL,K_mgL,pH_exceed,TDS_mgL_exceed,NO3_exceed,F_mgL_exceed,Cl_mgL_exceed,SO4_exceed,Total_Hardness_mgL_exceed,risk_score,risk_label,Latitude,Longitude,State,District,Location,coordinate_flag
7.44,155.0,103.85,40.0,14.0,0.07,2.0,5.0,30.0,8.0,2.0,10.0,1.0,0,0,0,0,0,0,0,0,SAFE,11.3583,75.91,Kerala,Kozhikode,Koduvalli,
8.41,520.0,348.40000000000003,200.0,38.0,0.34,22.0,16.0,190.0,66.0,6.0,30.0,8.0,0,0,0,0,0,0,0,0,SAFE,9.7497,76.3931,Kerala,Kottayam,Vaikom,
7.97,547.0,366.49,79.0,121.0,0.08,16.0,27.0,155.0,48.0,9.0,50.0,6.0,0,0,0,0,0,0,0,0,SAFE,23.3761,85.4442,Jharkhand,Ranchi,Tati Silway(E.F.),
7.28,170.0,113.9,37.0,21.0,0.0,7.0,18.0,54.0,17.0,3.0,19.0,2.0,0,0,0,0,0,0,0,0,SAFE,11.2333,76.0417,Kerala,Malappuram,Arikode,
7.4,178.0,119.26,34.0,31.0,0.0,5.0,11.0,41.0,10.0,4.0,20.0,1.0,0,0,0,0,0,0,0,0,SAFE,11.1472,75.9625,Kerala,Malappuram,Kondotty,
8.3,767.0,513.89,239.0,73.0,0.86,28.0,3.0,261.0,63.0,25.0,53.0,10.0,0,1,0,0,0,0,1,2,MODERATE,10.71,76.5944,Kerala,Palakkad,Kuzhalmannam,
8.34,710.0,475.7000000000001,314.0,50.0,1.0,17.0,3.0,287.0,77.0,23.0,53.0,10.0,0,0,0,0,0,0,1,1,MODERATE,10.6083,76.75,Kerala,Palakkad,Meenkara,
8.3,1080.0,723.6,385.0,140.0,1.23,68.0,1.0,298.0,66.0,33.0,145.0,13.0,0,1,0,0,0,0,1,2,MODERATE,10.6111,76.6833,Kerala,Palakkad,Kollengode Ii,
7.75,860.0,576.2,355.0,53.0,2.0,82.0,1.0,272.0,55.0,33.0,98.0,11.0,0,1,0,1,0,0,1,3,HIGH,10.7294,76.8772,Kerala,Palakkad,Nadupuni,
8.37,830.0,556.1,302.0,61.0,0.34,38.0,60.0,353.0,94.0,29.0,51.0,8.0,0,1,1,0,0,0,1,3,HIGH,10.6378,76.8628,Kerala,Palakkad,Meenakshipuram,
7.6,680.0,455.6,314.0,40.0,0.49,45.0,5.0,267.0,64.0,26.0,57.0,3.0,0,0,0,0,0,0,1,1,MODERATE,10.7333,76.85,Kerala,Palakkad,Kozhinjampara,
7.77,960.0,643.2,249.0,125.0,0.89,17.0,134.0,319.0,93.0,21.0,83.0,3.0,0,1,1,0,0,0,1,3,HIGH,10.6861,76.8694,Kerala,Palakkad,Gopalapuram,
8.04,306.0,205.02,105.0,23.0,0.4,14.0,10.0,96.0,23.0,9.0,23.0,1.0,0,0,0,0,0,0,0,0,SAFE,11.0666,76.5866,Kerala,Palakkad,Tavalam,
8.12,853.0,571.51,418.0,27.0,0.86,23.0,33.0,359.0,70.0,45.0,47.0,4.0,0,1,0,0,0,0,1,2,MODERATE,11.1575,76.6667,Kerala,Palakkad,Chavadiyur,
8.31,1061.0,710.87,393.0,89.0,0.71,42.0,18.0,365.0,117.0,18.0,80.0,5.0,0,1,0,0,0,0,1,2,MODERATE,11.118,76.64,Kerala,Palakkad,Agali,
8.4,602.0,403.34,140.0,81.0,0.31,34.0,19.0,195.0,44.0,21.0,51.0,6.0,0,0,0,0,0,0,0,0,SAFE,10.5889,76.4833,Kerala,Palakkad,Vadakkancherry,
8.31,600.0,402.0,163.0,74.0,0.34,18.0,1.0,176.0,41.0,18.0,46.0,12.0,0,0,0,0,0,0,0,0,SAFE,10.6722,76.4778,Kerala,Palakkad,Athipetta,
7.63,117.0,78.39,12.0,14.0,0.0,0.0,19.0,26.0,6.0,2.0,11.0,3.0,0,0,0,0,0,0,0,0,SAFE,11.1102,76.2847,Kerala,Malappuram,Thuvur,
7.34,467.0,312.89000000000004,12.0,99.0,0.0,22.0,37.0,83.0,24.0,6.0,51.0,3.0,0,0,0,0,0,0,0,0,SAFE,10.9097,75.9208,Kerala,Malappuram,Tirur,
7.84,397.0,265.99,159.0,26.0,0.2,21.0,8.0,140.0,34.0,13.0,25.0,2.0,0,0,0,0,0,0,0,0,SAFE,10.8667,75.9847,Kerala,Malappuram,Thirunavaya,
7.34,511.0,342.37,67.0,55.0,0.1,71.0,42.0,131.0,38.0,9.0,46.0,10.0,0,0,0,0,0,0,0,0,SAFE,10.85,75.9166,Kerala,Malappuram,Mangalam,
7.78,131.0,87.77000000000001,54.0,11.0,0.3,6.0,2.0,45.0,11.0,4.0,3.0,2.0,0,0,0,0,0,0,0,0,SAFE,10.8083,75.9167,Kerala,Malappuram,Iswaramangalam,
7.89,405.0,271.35,116.0,36.0,0.3,24.0,25.0,114.0,27.0,12.0,33.0,12.0,0,0,0,0,0,0,0,0,SAFE,10.8458,76.0306,Kerala,Malappuram,Kuttipuram,
6.95,377.0,252.59,12.0,96.0,0.0,1.0,24.0,79.0,19.0,8.0,34.0,7.0,0,0,0,0,0,0,0,0,SAFE,10.8952,76.0741,Kerala,Malappuram,Valancheri,
7.38,465.0,311.55,43.0,71.0,0.2,10.0,80.0,102.0,31.0,6.0,42.0,14.0,0,0,1,0,0,0,0,1,MODERATE,11.1181,76.1208,Kerala,Malappuram,Manjeri,
7.22,112.0,75.04,42.0,7.0,0.1,0.0,9.0,32.0,10.0,2.0,10.0,3.0,0,0,0,0,0,0,0,0,SAFE,10.9764,76.1097,Kerala,Malappuram,Kuruva,
7.36,141.0,94.47,24.0,17.0,0.0,5.0,16.0,37.0,10.0,3.0,12.0,4.0,0,0,0,0,0,0,0,0,SAFE,11.035,76.0906,Kerala,Malappuram,Malappuram,
8.38,280.0,187.6,31.0,34.0,0.1,28.0,4.0,79.0,19.0,8.0,28.0,2.0,0,0,0,0,0,0,0,0,SAFE,11.2333,76.3333,Kerala,Malappuram,Chokkad,
8.07,932.0,624.44,244.0,83.0,0.0,195.0,3.0,381.0,108.0,27.0,56.0,5.0,0,1,0,0,0,0,1,2,MODERATE,11.1375,76.0833,Kerala,Malappuram,Kadalundi,
7.12,158.0,105.86,17.0,30.0,0.0,5.0,15.0,53.0,17.0,3.0,10.0,5.0,0,0,0,0,0,0,0,0,SAFE,11.1694,76.3208,Kerala,Malappuram,Kalikavu,
7.92,244.0,163.48000000000002,79.0,28.0,0.2,1.0,20.0,85.0,20.0,8.0,16.0,2.0,0,0,0,0,0,0,0,0,SAFE,11.4166,76.325,Kerala,Malappuram,Maruda,
6.77,183.0,122.61,15.0,27.0,0.0,0.0,35.0,32.0,8.0,3.0,19.0,3.0,0,0,0,0,0,0,0,0,SAFE,11.2755,76.24,Kerala,Malappuram,Nilambur,
7.78,195.0,130.65,54.0,23.0,0.0,3.0,11.0,53.0,14.0,4.0,21.0,1.0,0,0,0,0,0,0,0,0,SAFE,11.0333,76.2667,Kerala,Malappuram,Melattur,
4.23,492.0,329.64000000000004,0.0,56.0,0.01,19.0,99.0,82.0,25.0,4.0,37.0,17.0,1,0,1,0,0,0,0,2,MODERATE,10.7861,75.9444,Kerala,Malappuram,Vylattur,
7.06,419.0,280.73,18.0,98.0,0.0,3.0,43.0,70.0,20.0,5.0,47.0,10.0,0,0,0,0,0,0,0,0,SAFE,10.9708,75.9833,Kerala,Malappuram,Kottakkal,
7.48,160.0,107.2,20.0,19.0,0.0,11.0,13.0,28.0,8.0,2.0,16.0,5.0,0,0,0,0,0,0,0,0,SAFE,10.9833,75.875,Kerala,Malappuram,Tanur,
7.83,372.0,249.24,134.0,40.0,0.2,11.0,13.0,125.0,26.0,14.0,28.0,1.0,0,0,0,0,0,0,0,0,SAFE,11.2833,76.3278,Kerala,Malappuram,Karulai,
7.68,1065.0,713.5500000000001,287.0,181.0,0.3,71.0,29.0,370.0,150.0,1.0,60.0,37.0,0,1,0,0,0,0,1,2,MODERATE,20.9667,81.8833,Chhattisgarh,Gariyabandh,Rajim,
7.35,332.0,222.44000000000003,79.0,60.0,0.33,13.0,7.0,95.0,12.0,16.0,31.0,3.0,0,0,0,0,0,0,0,0,SAFE,23.2704,85.2523,Jharkhand,Ranchi,Sithipokhartoli,
8.12,236.0,158.12,55.0,39.0,0.26,10.0,11.0,80.0,20.0,7.0,17.0,2.0,0,0,0,0,0,0,0,0,SAFE,23.2886,85.4097,Jharkhand,Ranchi,Rampur,
7.79,1333.0,893.11,360.0,178.0,0.68,91.0,33.0,370.0,84.0,39.0,133.0,5.0,0,1,0,0,0,0,1,2,MODERATE,25.052,87.363,Jharkhand,Godda,Lalmatia,
7.84,971.0,650.57,384.0,107.0,0.42,19.0,3.0,315.0,62.0,39.0,74.0,6.0,0,1,0,0,0,0,1,2,MODERATE,24.8917,87.1739,Jharkhand,Godda,Gobra,
8.03,554.0,371.18,189.0,67.0,0.77,19.0,5.0,245.0,60.0,23.0,12.0,5.0,0,0,0,0,0,0,1,1,MODERATE,24.8323,87.1741,Jharkhand,Godda,Pakariya,
8.1,780.0,522.6,342.0,46.0,1.63,23.0,18.0,180.0,34.0,23.0,96.0,4.0,0,1,0,1,0,0,0,2,MODERATE,24.788,87.207,Jharkhand,Godda,Kumardih,
7.96,609.0,408.03,183.0,85.0,0.22,14.0,20.0,270.0,60.0,29.0,14.0,4.0,0,0,0,0,0,0,1,1,MODERATE,24.804,87.261,Jharkhand,Godda,Jaminipaharpur,
8.11,1063.0,712.21,439.0,85.0,1.22,33.0,16.0,355.0,46.0,58.0,81.0,1.0,0,1,0,0,0,0,1,2,MODERATE,24.8367,87.2389,Jharkhand,Godda,Godda,
8.15,571.0,382.5700000000001,281.0,21.0,1.43,12.0,8.0,195.0,40.0,23.0,37.0,9.0,0,0,0,0,0,0,0,0,SAFE,24.7997,87.2892,Jharkhand,Godda,Daldali,
7.99,660.0,442.2000000000001,281.0,43.0,1.32,26.0,8.0,225.0,36.0,33.0,45.0,7.0,0,0,0,0,0,0,1,1,MODERATE,24.717,87.189,Jharkhand,Godda,Bargacha Hariyari,
7.73,1089.0,729.63,567.0,32.0,0.81,28.0,3.0,355.0,70.0,44.0,88.0,0.0,0,1,0,0,0,0,1,2,MODERATE,25.0139,87.2778,Jharkhand,Godda,Boarijore,
7.81,1245.0,834.1500000000001,329.0,174.0,0.22,86.0,28.0,300.0,62.0,35.0,136.0,16.0,0,1,0,0,0,0,1,2,MODERATE,24.5466,86.0976,Jharkhand,Giridih,Khijri,
7.89,1101.0,737.6700000000001,403.0,149.0,0.1,4.0,5.0,255.0,54.0,29.0,129.0,11.0,0,1,0,0,0,0,1,2,MODERATE,24.166,85.8791,Jharkhand,Giridih,Saria,
7.7,623.0,417.41,140.0,82.0,0.03,51.0,31.0,240.0,62.0,21.0,29.0,8.0,0,0,0,0,0,0,1,1,MODERATE,24.041,86.1599,Jharkhand,Giridih,Chirki (Pirtanr),
8.03,1027.0,688.09,226.0,170.0,0.32,70.0,23.0,270.0,76.0,19.0,97.0,24.0,0,1,0,0,0,0,1,2,MODERATE,24.3697,86.1512,Jharkhand,Giridih,Jamua Pwd Ib,
8.23,518.0,347.06,201.0,36.0,0.77,31.0,14.0,160.0,52.0,7.0,42.0,4.0,0,0,0,0,0,0,0,0,SAFE,24.1887,86.3053,Jharkhand,Giridih,Giridih,
7.6,2365.0,1584.5500000000002,458.0,430.0,0.41,173.0,30.0,820.0,178.0,91.0,155.0,19.0,0,1,0,0,1,0,1,3,HIGH,25.1503,87.3861,Jharkhand,Godda,Doi,
7.76,212.0,142.04000000000002,92.0,14.0,0.06,6.0,8.0,60.0,12.0,7.0,19.0,3.0,0,0,0,0,0,0,0,0,SAFE,24.2264,86.1991,Jharkhand,Giridih,Dhanidih,
7.64,525.0,351.75,122.0,53.0,0.17,59.0,28.0,195.0,22.0,34.0,31.0,0.0,0,0,0,0,0,0,0,0,SAFE,24.1853,86.4399,Jharkhand,Giridih,Gandey1,
8.1,1095.0,733.6500000000001,275.0,142.0,0.22,86.0,31.0,420.0,126.0,26.0,54.0,6.0,0,1,0,0,0,0,1,2,MODERATE,23.9908,86.0196,Jharkhand,Giridih,Dumri,
7.36,1058.0,708.86,348.0,135.0,0.22,40.0,19.0,365.0,88.0,35.0,68.0,11.0,0,1,0,0,0,0,1,2,MODERATE,24.4055,85.9792,Jharkhand,Giridih,Dhanwar,
7.49,523.0,350.41,220.0,39.0,0.11,16.0,12.0,215.0,14.0,44.0,20.0,3.0,0,0,0,0,0,0,1,1,MODERATE,24.5148,86.1899,Jharkhand,Giridih,Dewri,
7.78,627.0,420.09,232.0,82.0,0.21,4.0,8.0,295.0,42.0,46.0,3.0,9.0,0,0,0,0,0,0,1,1,MODERATE,24.2817,85.9231,Jharkhand,Giridih,Birini,
7.98,722.0,483.74,244.0,85.0,0.29,26.0,20.0,215.0,64.0,13.0,66.0,0.0,0,0,0,0,0,0,1,1,MODERATE,24.2882,85.9317,Jharkhand,Giridih,Barmasia,
7.64,419.0,280.73,122.0,32.0,0.13,40.0,28.0,150.0,22.0,23.0,21.0,11.0,0,0,0,0,0,0,0,0,SAFE,24.2324,86.3901,Jharkhand,Giridih,Maheshmunda1,
7.75,1048.0,702.1600000000001,287.0,181.0,0.25,30.0,5.0,290.0,58.0,35.0,90.0,29.0,0,1,0,0,0,0,1,2,MODERATE,24.3048,86.3569,Jharkhand,Giridih,Bengabad,
7.91,906.0,607.02,275.0,114.0,0.37,66.0,2.0,310.0,74.0,30.0,57.0,13.0,0,1,0,0,0,0,1,2,MODERATE,24.084,85.8336,Jharkhand,Giridih,Bagodar,
7.63,1213.0,812.71,354.0,146.0,0.74,91.0,24.0,520.0,100.0,66.0,27.0,20.0,0,1,0,0,0,0,1,2,MODERATE,23.9961,83.7939,Jharkhand,Garhwa,Ranka,
7.62,920.0,616.4000000000001,305.0,60.0,0.42,87.0,40.0,385.0,62.0,56.0,30.0,10.0,0,1,0,0,0,0,1,2,MODERATE,23.8095,83.7939,Jharkhand,Garhwa,Godarmana,
8.01,1118.0,749.0600000000001,342.0,117.0,0.66,78.0,44.0,425.0,114.0,34.0,59.0,3.0,0,1,0,0,0,0,1,2,MODERATE,23.8869,83.7297,Jharkhand,Garhwa,Bishrampur (Ranka),
7.94,1603.0,1074.01,482.0,185.0,0.4,120.0,25.0,540.0,82.0,81.0,110.0,19.0,0,1,0,0,0,0,1,2,MODERATE,24.2319,83.6018,Jharkhand,Garhwa,Ramna1,
8.18,925.0,619.75,287.0,103.0,0.47,78.0,3.0,220.0,42.0,28.0,99.0,20.0,0,1,0,0,0,0,1,2,MODERATE,24.2815,83.5039,Jharkhand,Garhwa,Nagaruntari,
7.69,701.0,469.67,244.0,43.0,0.14,64.0,32.0,225.0,62.0,17.0,51.0,11.0,0,0,0,0,0,0,1,1,MODERATE,24.612,85.9201,Jharkhand,Giridih,Ganwan,
7.87,1185.0,793.95,378.0,156.0,1.6,35.0,31.0,320.0,78.0,30.0,124.0,2.0,0,1,0,1,0,0,1,3,HIGH,24.7998,87.2895,Jharkhand,Godda,Maheshpur,
8.05,851.0,570.1700000000001,470.0,18.0,0.95,11.0,5.0,220.0,48.0,24.0,90.0,7.0,0,1,0,0,0,0,1,2,MODERATE,24.9003,87.1986,Jharkhand,Godda,Bisaha,
7.74,1223.0,819.4100000000001,323.0,195.0,0.72,46.0,28.0,520.0,98.0,67.0,40.0,2.0,0,1,0,0,0,0,1,2,MODERATE,24.677,87.179,Jharkhand,Godda,Poraiya Haat,
7.38,285.0,190.95,110.0,18.0,0.79,15.0,18.0,75.0,22.0,5.0,27.0,7.0,0,0,0,0,0,0,0,0,SAFE,23.7148,85.3893,Jharkhand,Hazaribagh,Dari,
7.63,2088.0,1398.96,689.0,259.0,0.6,102.0,12.0,660.0,194.0,43.0,151.0,41.0,0,1,0,0,1,0,1,3,HIGH,24.3899,85.2508,Jharkhand,Hazaribagh,Chauparan1,
7.63,2008.0,1345.36,610.0,234.0,0.48,139.0,31.0,820.0,204.0,75.0,79.0,12.0,0,1,0,0,0,0,1,2,MODERATE,24.2377,85.7136,Jharkhand,Hazaribagh,Chalkusa,
7.75,573.0,383.91,207.0,46.0,0.69,25.0,34.0,195.0,50.0,17.0,36.0,9.0,0,0,0,0,0,0,0,0,SAFE,23.9755,85.8274,Jharkhand,Hazaribagh,Chano,
7.61,568.0,380.56,122.0,78.0,0.22,44.0,31.0,190.0,36.0,24.0,40.0,6.0,0,0,0,0,0,0,0,0,SAFE,24.0221,85.6191,Jharkhand,Hazaribagh,Tatijharia,
7.44,1409.0,944.03,403.0,174.0,0.8,92.0,46.0,375.0,136.0,9.0,126.0,44.0,0,1,1,0,0,0,1,3,HIGH,24.2086,85.5355,Jharkhand,Hazaribagh,Sakrej,
7.8,855.0,572.85,317.0,89.0,1.02,40.0,4.0,275.0,68.0,26.0,60.0,16.0,0,1,0,0,0,0,1,2,MODERATE,24.1661,85.619,Jharkhand,Hazaribagh,Barkatha,
7.49,467.0,312.89000000000004,153.0,46.0,0.73,42.0,3.0,165.0,56.0,6.0,25.0,11.0,0,0,0,0,0,0,0,0,SAFE,23.6948,85.3096,Jharkhand,Hazaribagh,Urimari,
7.17,499.0,334.33000000000004,122.0,71.0,0.18,20.0,36.0,185.0,54.0,12.0,25.0,6.0,0,0,0,0,0,0,0,0,SAFE,23.856,85.2193,Jharkhand,Hazaribagh,Barkagaon,
7.99,952.0,637.84,317.0,92.0,1.19,71.0,19.0,240.0,54.0,26.0,101.0,12.0,0,1,0,0,0,0,1,2,MODERATE,24.2983,85.4284,Jharkhand,Hazaribagh,Konra-Barhi,
7.41,1091.0,730.97,275.0,124.0,0.6,103.0,48.0,350.0,76.0,39.0,82.0,12.0,0,1,1,0,0,0,1,3,HIGH,23.1677,84.7576,Jharkhand,Gumla,Sisai,
7.61,703.0,471.0100000000001,165.0,107.0,0.63,30.0,44.0,250.0,64.0,22.0,41.0,8.0,0,0,0,0,0,0,1,1,MODERATE,23.1182,84.6831,Jharkhand,Gumla,Nagfeni,
7.62,609.0,408.03,207.0,71.0,0.45,26.0,4.0,240.0,38.0,35.0,24.0,11.0,0,0,0,0,0,0,1,1,MODERATE,22.9551,84.4613,Jharkhand,Gumla,Raidih,
7.75,824.0,552.08,299.0,92.0,0.51,28.0,7.0,310.0,54.0,43.0,42.0,9.0,0,1,0,0,0,0,1,2,MODERATE,23.0595,84.3387,Jharkhand,Gumla,Kasir,
7.77,461.0,308.87,220.0,28.0,0.51,4.0,8.0,180.0,22.0,30.0,19.0,6.0,0,0,0,0,0,0,0,0,SAFE,22.8783,84.6467,Jharkhand,Gumla,Palkot,
8.06,1223.0,819.4100000000001,360.0,156.0,0.55,73.0,27.0,380.0,102.0,30.0,96.0,16.0,0,1,0,0,0,0,1,2,MODERATE,22.932,84.6281,Jharkhand,Gumla,Baghma,
7.73,582.0,389.94,165.0,99.0,0.97,11.0,1.0,195.0,34.0,27.0,44.0,2.0,0,0,0,0,0,0,0,0,SAFE,22.909,84.9067,Jharkhand,Gumla,Kamdara,
8.08,546.0,365.8200000000001,262.0,39.0,1.28,3.0,1.0,210.0,44.0,24.0,22.0,10.0,0,0,0,0,0,0,1,1,MODERATE,24.6297,87.1294,Jharkhand,Godda,Chamudih,
7.84,1395.0,934.65,397.0,202.0,0.57,76.0,11.0,385.0,96.0,35.0,135.0,11.0,0,1,0,0,0,0,1,2,MODERATE,24.7047,86.2339,Jharkhand,Godda,Raghunathpur,
7.82,673.0,450.91,281.0,67.0,0.59,10.0,3.0,275.0,68.0,26.0,27.0,2.0,0,0,0,0,0,0,1,1,MODERATE,24.756,87.353,Jharkhand,Godda,Sunder Pahari,
7.75,1151.0,771.1700000000001,586.0,46.0,0.61,23.0,3.0,335.0,86.0,29.0,109.0,5.0,0,1,0,0,0,0,1,2,MODERATE,25.1291,87.454,Jharkhand,Godda,Thakurghanti,
8.05,1005.0,673.35,378.0,71.0,0.61,58.0,42.0,350.0,78.0,38.0,56.0,22.0,0,1,0,0,0,0,1,2,MODERATE,22.8713,84.8297,Jharkhand,Gumla,Baisia,
7.95,637.0,426.79,262.0,60.0,0.81,8.0,12.0,220.0,28.0,36.0,38.0,10.0,0,0,0,0,0,0,1,1,MODERATE,23.2332,84.8896,Jharkhand,Gumla,Bharno Bdo,
7.52,1488.0,996.96,427.0,170.0,0.95,111.0,44.0,495.0,100.0,60.0,110.0,9.0,0,1,0,0,0,0,1,2,MODERATE,24.1814,83.7016,Jharkhand,Garhwa,Meral,
7.88,809.0,542.0300000000001,226.0,85.0,0.49,59.0,44.0,300.0,76.0,27.0,47.0,3.0,0,1,0,0,0,0,1,2,MODERATE,23.374,84.3801,Jharkhand,Gumla,Bishnupur,
7.71,453.0,303.51,171.0,50.0,0.19,10.0,5.0,175.0,32.0,23.0,21.0,8.0,0,0,0,0,0,0,0,0,SAFE,23.1646,84.1305,Jharkhand,Gumla,Dumri,
7.8,1395.0,934.65,220.0,231.0,0.61,145.0,46.0,450.0,98.0,50.0,99.0,27.0,0,1,1,0,0,0,1,3,HIGH,23.2975,84.3934,Jharkhand,Gumla,Adar,
7.92,1018.0,682.0600000000001,293.0,153.0,0.54,47.0,1.0,345.0,80.0,35.0,70.0,11.0,0,1,0,0,0,0,1,2,MODERATE,23.2687,84.5581,Jharkhand,Gumla,Ghagra,
7.89,692.0,463.64,232.0,78.0,0.95,21.0,25.0,250.0,54.0,28.0,41.0,8.0,0,0,0,0,0,0,1,1,MODERATE,23.1288,84.4828,Jharkhand,Gumla,Anjam Gram,
7.86,1373.0,919.91,427.0,138.0,0.5,96.0,53.0,435.0,92.0,50.0,110.0,8.0,0,1,1,0,0,0,1,3,HIGH,23.043,84.5409,Jharkhand,Gumla,Gumla1,
7.78,925.0,619.75,220.0,149.0,0.41,33.0,44.0,290.0,76.0,24.0,75.0,10.0,0,1,0,0,0,0,1,2,MODERATE,23.1668,84.5298,Jharkhand,Gumla,Kharka,
7.8,1215.0,814.0500000000001,336.0,170.0,0.71,60.0,33.0,395.0,104.0,33.0,91.0,13.0,0,1,0,0,0,0,1,2,MODERATE,23.1283,84.2422,Jharkhand,Gumla,Chainpur1,
7.8,735.0,492.4500000000001,317.0,39.0,1.43,45.0,11.0,255.0,64.0,23.0,49.0,4.0,0,0,0,0,0,0,1,1,MODERATE,23.8089,85.4274,Jharkhand,Hazaribagh,Dasokhap,
7.7,1731.0,1159.77,445.0,231.0,0.24,128.0,56.0,490.0,40.0,95.0,145.0,45.0,0,1,1,0,0,0,1,3,HIGH,24.3234,83.8144,Jharkhand,Garhwa,Manjhian,
7.51,738.0,494.46,146.0,99.0,0.47,75.0,42.0,285.0,44.0,43.0,36.0,1.0,0,0,0,0,0,0,1,1,MODERATE,24.1721,83.7362,Jharkhand,Garhwa,Lagama,
7.72,943.0,631.8100000000001,329.0,50.0,0.61,96.0,41.0,395.0,96.0,38.0,29.0,10.0,0,1,0,0,0,0,1,2,MODERATE,23.7462,86.5229,Jharkhand,Dhanbad,Pandadih,
7.77,1123.0,752.4100000000001,317.0,135.0,0.68,81.0,34.0,370.0,120.0,17.0,84.0,6.0,0,1,0,0,0,0,1,2,MODERATE,23.7508,86.2659,Jharkhand,Dhanbad,Mahuda,
7.74,403.0,270.01,153.0,43.0,0.75,6.0,12.0,170.0,32.0,22.0,13.0,1.0,0,0,0,0,0,0,0,0,SAFE,24.3686,86.8945,Jharkhand,Deoghar,Ashubandha,
8.04,645.0,432.15,207.0,67.0,0.75,25.0,35.0,255.0,82.0,12.0,28.0,5.0,0,0,0,0,0,0,1,1,MODERATE,24.3842,86.7804,Jharkhand,Deoghar,Sarawan,
8.24,574.0,384.58,189.0,50.0,0.57,34.0,30.0,235.0,68.0,16.0,24.0,1.0,0,0,0,0,0,0,1,1,MODERATE,24.2374,86.8401,Jharkhand,Deoghar,Sarath,
8.13,967.0,647.89,311.0,114.0,0.61,42.0,28.0,360.0,78.0,40.0,54.0,7.0,0,1,0,0,0,0,1,2,MODERATE,24.2394,87.011,Jharkhand,Deoghar,Palajori,
7.67,1121.0,751.07,348.0,135.0,0.41,49.0,39.0,400.0,72.0,53.0,69.0,10.0,0,1,0,0,0,0,1,2,MODERATE,24.4485,86.8653,Jharkhand,Deoghar,Ghormara,
7.78,382.0,255.94000000000003,110.0,46.0,0.53,13.0,23.0,140.0,36.0,12.0,20.0,6.0,0,0,0,0,0,0,0,0,SAFE,24.2058,86.6085,Jharkhand,Deoghar,Rampur,
7.92,1731.0,1159.77,531.0,220.0,0.72,85.0,35.0,615.0,167.0,48.0,112.0,6.0,0,1,0,0,0,0,1,2,MODERATE,24.2677,86.6473,Jharkhand,Deoghar,Madhupur,
7.55,785.0,525.95,134.0,149.0,0.16,49.0,30.0,275.0,66.0,27.0,49.0,8.0,0,1,0,0,0,0,1,2,MODERATE,24.1244,86.7415,Jharkhand,Deoghar,Karon Bus Stand,
8.06,685.0,458.9500000000001,275.0,57.0,0.61,27.0,13.0,260.0,68.0,22.0,37.0,0.0,0,0,0,0,0,0,1,1,MODERATE,24.3616,86.5464,Jharkhand,Deoghar,Chaudharidih,
7.89,1275.0,854.25,403.0,146.0,0.39,67.0,41.0,420.0,120.0,29.0,92.0,13.0,0,1,0,0,0,0,1,2,MODERATE,24.5144,86.6455,Jharkhand,Deoghar,Jasidih,
8.06,1201.0,804.6700000000001,397.0,135.0,0.46,55.0,35.0,385.0,78.0,46.0,90.0,13.0,0,1,0,0,0,0,1,2,MODERATE,24.4863,86.71,Jharkhand,Deoghar,Deoghar,
7.74,1917.0,1284.39,555.0,259.0,0.47,97.0,42.0,530.0,144.0,41.0,165.0,55.0,0,1,0,0,1,0,1,3,HIGH,23.9537,84.999,Jharkhand,Chatra,Teliyadih,
8.02,1699.0,1138.3300000000002,506.0,217.0,0.72,116.0,11.0,660.0,210.0,33.0,65.0,35.0,0,1,0,0,0,0,1,2,MODERATE,23.782,86.3684,Jharkhand,Dhanbad,Basudeopur,
7.37,1369.0,917.23,384.0,170.0,0.3,95.0,40.0,540.0,134.0,50.0,62.0,6.0,0,1,0,0,0,0,1,2,MODERATE,24.0387,85.0331,Jharkhand,Chatra,Tutilawa1,
7.5,689.0,461.63000000000005,153.0,75.0,0.17,86.0,34.0,245.0,66.0,19.0,43.0,3.0,0,0,0,0,0,0,1,1,MODERATE,23.9862,85.1824,Jharkhand,Chatra,Birhu,
7.45,1158.0,775.86,372.0,131.0,0.46,53.0,42.0,375.0,88.0,38.0,85.0,13.0,0,1,0,0,0,0,1,2,MODERATE,24.0367,84.8577,Jharkhand,Chatra,Bagra,
8.13,595.0,398.65,311.0,14.0,0.82,9.0,12.0,225.0,42.0,29.0,30.0,5.0,0,0,0,0,0,0,1,1,MODERATE,24.3078,84.6691,Jharkhand,Chatra,Kukurman,
7.66,448.0,300.16,146.0,36.0,0.51,27.0,34.0,155.0,28.0,21.0,19.0,21.0,0,0,0,0,0,0,0,0,SAFE,24.1143,85.0618,Jharkhand,Chatra,Barwadih,
7.83,1071.0,717.57,250.0,146.0,0.67,84.0,44.0,430.0,80.0,56.0,46.0,6.0,0,1,0,0,0,0,1,2,MODERATE,24.2941,85.2423,Jharkhand,Chatra,Mayurhand,
7.41,431.0,288.77000000000004,183.0,21.0,0.5,26.0,5.0,185.0,28.0,28.0,12.0,4.0,0,0,0,0,0,0,0,0,SAFE,24.0685,84.7583,Jharkhand,Chatra,Bandu,
8.17,483.0,323.61,214.0,32.0,0.86,11.0,13.0,190.0,36.0,24.0,19.0,9.0,0,0,0,0,0,0,0,0,SAFE,24.2153,84.6426,Jharkhand,Chatra,Bariya Chak,
